username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
Loser_Qiang,4244628373,7,82,0.08536585365853659,0,98,18,0,0,0,1,0,0,0,0,0,0,0,93,0,0.0,0.0,,0.0,0.09451219512195122,,11,1,0,79093.61111111111,294661564.0,11
lucymerlin1,779997942,2,67,0.029850746268656716,0,77,16,0,0,0,1,0,0,0,1,0,0,0,590,0,0.0029850746268656717,0.0,,0.0,0.8005427408412482,,11,1,0,10921597.3125,192967079.0,11
atadeu7,2739364239,4,120,0.03333333333333333,0,150,29,0,0,0,1,0,0,0,1,0,2,0,15304,2,0.0008333333333333334,0.0,0.016666666666666666,0.0,7.5019607843137255,0.016666666666666666,16,2,0,4031419.25,254785374.0,7
ytaloyuri,318512526,10,0,,0,117,20,0,1,0,1,0,0,0,2,0,0,0,23127,0,,,,,,,7,2,0,12156.111111111111,155319285.0,9
totolivesal,182226167,5,0,,0,189,35,0,0,0,1,0,0,0,2,0,0,0,18235,0,,,,,,,23,3,0,5201.878787878788,129699083.0,11
QiGOYiQJ1qwbF7l,2874740743,3,46,0.06521739130434782,0,61,14,0,0,0,1,0,0,0,2,0,0,1,288,0,0.007246376811594202,0.0,,0.003623188405797101,0.782608695652174,,8,0,0,80440.14285714286,261211384.0,15
Uzfirst,477624577,7,56,0.125,0,57,15,0,1,0,1,0,0,0,2,0,0,0,79,0,0.00510204081632653,0.0,,0.0,0.20153061224489796,,9,1,0,13737558.285714285,174915311.0,7
asecondtoosoon,277669385,98,0,,0,1046,375,0,1,1,1,0,0,0,28,0,0,0,782010,0,,,,,,,123,16,0,18197.577142857142,149114286.0,14
imi81imi81,432287562,22,0,,0,345,21,0,0,0,1,0,0,0,10,0,0,0,0,0,,,,,,,0,0,0,52971.19047619047,170493868.0,10
Sasetaurrena,58317832,259,0,,4,61,784,0,1,1,1,0,0,0,16,0,2,49,2751,2,,,,,,,140,0,0,732729.7676767677,95122640.0,12
